"ProductKey","Product","Standard Cost","Color","Subcategory","Category"
"589","Mountain-400-W Silver, 42","419.7800","Silver","Mountain Bikes","Bikes"
"590","Mountain-400-W Silver, 46","419.7800","Silver","Mountain Bikes","Bikes"
"591","Mountain-500 Silver, 40","308.2200","Silver","Mountain Bikes","Bikes"
"592","Mountain-500 Silver, 42","308.2200","Silver","Mountain Bikes","Bikes"
"593","Mountain-500 Silver, 44","308.2200","Silver","Mountain Bikes","Bikes"
"594","Mountain-500 Silver, 48","308.2200","Silver","Mountain Bikes","Bikes"
"595","Mountain-500 Silver, 52","308.2200","Silver","Mountain Bikes","Bikes"
"596","Mountain-500 Black, 40","294.5800","Black","Mountain Bikes","Bikes"
"597","Mountain-500 Black, 42","294.5800","Black","Mountain Bikes","Bikes"
"598","Mountain-500 Black, 44","294.5800","Black","Mountain Bikes","Bikes"
"599","Mountain-500 Black, 48","294.5800","Black","Mountain Bikes","Bikes"
"600","Mountain-500 Black, 52","294.5800","Black","Mountain Bikes","Bikes"
"601","LL Bottom Bracket","23.9700","NA","Bottom Brackets","Components"
"602","ML Bottom Bracket","44.9500","NA","Bottom Brackets","Components"
"603","HL Bottom Bracket","53.9400","NA","Bottom Brackets","Components"
"604","Road-750 Black, 44","343.6500","Black","Road Bikes","Bikes"
"605","Road-750 Black, 48","343.6500","Black","Road Bikes","Bikes"
"606","Road-750 Black, 52","343.6500","Black","Road Bikes","Bikes"
